collage,Player,id,height,weight,born,birth_city,birth_state
University of Southern California,Paul Westphal,974,193,88,1950,Torrance,California
Friendship Junior College,Harthorne Wingo,975,198,95,1947,Tryon,North Carolina
Indiana University,Joby Wright,976,203,99,1950,,
Saint Joseph's University,Mike Bantom,977,206,90,1951,Philadelphia,Pennsylvania
University of Minnesota,Ron Behagen,978,206,83,1951,New York,New York
Drake University,Dennis Bell,979,196,83,1951,Cincinnati,Ohio
University of Minnesota,Jim Brewer,980,206,95,1951,Maywood,Illinois
Virginia Polytechnic Institute and State University,Allan Bristow,981,201,95,1951,Richmond,Virginia
University of Missouri,John Brown,982,201,99,1951,Frankfurt,Germany
La Salle University,Larry Cannon,983,193,88,1947,Philadelphia,Pennsylvania
University of North Carolina,Bill Chamberlain,984,198,85,1949,,
Fordham University,Ken Charles,985,190,81,1951,Trinidad and Tobago,
,E.C. Coleman,986,190,81,1951,,
Illinois State University,Doug Collins,987,198,81,1951,Christopher,Illinois
Marshall University,Mike D'Antoni,988,190,83,1951,Mullens,West Virginia
St. John's University,Mel Davis,989,198,99,1950,New York,New York
University of Cincinnati,Derrek Dickey,990,201,98,1951,Cincinnati,Ohio
Providence College,Ernie DiGregorio,991,183,81,1951,North Providence,Rhode Island
Indiana University,Steve Downing,992,203,102,1950,Indianapolis,Indiana
Vanderbilt University,Rod Freeman,993,201,102,1950,,
Brigham Young University,Bernie Fryer,994,190,83,1949,Bellingham,Washington
Boston University,Jim Garvin,995,201,90,1950,,
University of Pennsylvania,Phil Hankinson,996,203,88,1951,Augusta,Georgia
Southern Illinois University,Nate Hawthorne,997,193,86,1950,Mt. Vernon,Illinois
Villanova University,Tom Ingelsby,998,190,81,1951,Philadelphia,Pennsylvania
University of Houston,Dwight Jones,999,208,95,1952,Houston,Texas
Central Michigan University,Ben Kelso,1000,190,88,1949,,
University of Toledo,Tom Kozelko,1001,203,99,1951,Traverse City,Michigan
University of Iowa,Kevin Kunnert,1002,213,104,1951,Dubuque,Iowa
Canisius College,Mike Macaluso,1003,196,95,1951,,
Princeton University,Ted Manakas,1004,188,81,1951,,
University of Oklahoma,Vester Marshall,1005,201,90,1948,,
St. John's University,Allie McGuire,1006,188,81,1928,New York,New York
Marquette University,Larry McNeill,1007,206,88,1951,Hoke,North Carolina
Duke University,Gary Melchionni,1008,188,83,1951,Camden,New Jersey
University of Washington,Louie Nelson,1009,190,86,1951,Los Angeles,California
Arizona State University,Jim Owens,1010,196,90,1950,Los Angeles,California
"California State University, Long Beach",Ed Ratleff,1011,198,88,1950,Bellefontaine,Ohio
Bethel College,Joe Reaves,1012,196,95,1950,,
Northwestern University,Mark Sibley,1013,188,79,1950,,
Duke University,Bob Verga,1014,185,86,1945,Neptune,New Jersey
American University,Kermit Washington,1015,203,104,1951,Washington,District of Columbia
Xavier University of Louisiana,Slick Watts,1016,185,79,1951,Rolling Ford,Mississippi
University of Illinois at Urbana-Champaign,Nick Weatherspoon,1017,201,88,1950,Greenwood,Mississippi
Ohio State University,Luke Witte,1018,213,106,1950,Philadelphia,Pennsylvania
Augsburg College,Dan Anderson,1019,208,104,1943,Minneapolis,Minnesota
University of Cincinnati,Jim Ard,1020,203,97,1948,Harvey,Illinois
University of Texas at El Paso,Gus Bailey,1021,196,83,1951,Gibson,North Carolina
Jacksonville University,Leon Benbow,1022,193,83,1950,Columbia,South Carolina
Boston University,Ken Boyd,1023,196,88,1952,Frederick,Maryland
University of Notre Dame,Gary Brokaw,1024,193,80,1954,New Brunswick,New Jersey
North Carolina State University,Tom Burleson,1025,218,102,1952,Crossnore,North Carolina
Hardin-Simmons University,Harvey Catchings,1026,206,98,1951,Jackson,Mississippi
Marquette University,Jim Chones,1027,211,99,1949,Racine,Wisconsin
Florida State University,Ben Clyde,1028,201,89,1951,Albany,Georgia
Virginia Commonwealth University,Jesse Dark,1029,196,95,1951,Richmond,Virginia
Seattle University,Rod Derline,1030,183,79,1952,Elma,Washington
Gardner-Webb University,John Drew,1031,198,92,1954,Vredenburgh,Alabama
Syracuse University,Dennis DuVal,1032,190,79,1952,Westbury,New York
University of Missouri,Al Eberhard,1033,198,102,1952,Cedar Rapids,Iowa
"California State University, Long Beach",Leonard Gray,1034,203,108,1951,Kansas City,Kansas
Virginia Commonwealth University,Bernie Harris,1035,208,90,1950,Roanoke,Virginia
University of Washington,Steve Hawes,1036,206,99,1950,Seattle,Washington
University of Hawaii,Tom Henderson,1037,190,86,1952,Newberry,South Carolina
Guilford College,Greg Jackson,1038,183,81,1952,Brooklyn,New York
Ohio State University,Wardell Jackson,1039,201,90,1951,Yazoo City,Mississippi
Grambling State University,Aaron James,1040,203,95,1952,New Orleans,Louisiana
Aurora University,Mickey Johnson,1041,208,86,1952,Chicago,Illinois
Grambling State University,Jimmy Jones,1042,193,85,1945,Tallulah,Louisiana
Purdue University,Frank Kendrick,1043,198,89,1950,Indianapolis,Indiana
University of Tennessee,Len Kosmalski,1044,213,111,1951,Cleveland,Ohio
Vanderbilt University,Bill Ligon,1045,193,81,1952,Nashville,Tennessee
Miami University,Phil Lumpkin,1046,183,74,1951,Dayton,Ohio
"California State University, Long Beach",Glenn McDonald,1047,198,86,1952,Kewanee,Illinois
University of Arizona,Eric Money,1048,183,77,1955,Detroit,Michigan
University of Arizona,Connie Norman,1049,190,79,1953,Detroit,Michigan
University of San Francisco,Kevin Restani,1050,206,102,1951,San Francisco,California
Tennessee State University,Truck Robinson,1051,201,102,1951,Jacksonville,Florida
University of Michigan,Campy Russell,1052,196,98,1944,Chicago,Illinois
Syracuse University,Fred Saunders,1053,201,95,1951,Columbus,Ohio
University of Maryland Eastern Shore,Tal Skinner,1054,196,88,1952,Berlin,Maryland
University of Minnesota,Don Smith,1055,188,86,1920,Minnesota,
University of San Francisco,Phil Smith,1056,193,83,1952,San Francisco,California
University of Utah,Mike Sojourner,1057,206,102,1953,Philadelphia,Pennsylvania
Providence College,Kevin Stacom,1058,190,83,1951,New York,New York
Marquette University,George Thompson,1059,188,90,1947,Brooklyn,New York
University of Arkansas,Dean Tolson,1060,203,86,1951,Kansas City,Missouri
State University of West Georgia,Foots Walker,1061,183,83,1951,Southampton,New York
"University of California, Los Angeles",Bill Walton*,1062,211,95,1952,La Mesa,California
Georgia Southern University,Perry Warbington,1063,188,74,1952,Atlabta,Georgia
University of San Diego,Stan Washington,1064,193,86,1952,Washington,District of Columbia
University of Colorado,Scott Wedman,1065,201,97,1952,Harper,Kansas
University of Detroit Mercy,Owen Wells,1066,201,90,1950,Providence,Rhode Island
"University of California, Los Angeles",Jamaal Wilkes*,1067,198,86,1953,Berkeley,California
Winston-Salem State University,Earl Williams,1068,201,104,1951,Levittown,Pennsylvania
West Virginia State University,Bobby Wilson,1069,193,83,1926,,
University of South Carolina,Brian Winters,1070,193,83,1952,Rockaway,New York
University of Oklahoma,Alvan Adams,1071,206,95,1954,Lawrence,Kansas
West Virginia University,Jerome Anderson,1072,196,88,1953,Mullens,West Virginia
Temple University,Jerry Baskerville,1073,201,86,1951,Philadelphia,Pennsylvania
University of Pennsylvania,Bob Bigelow,1074,201,97,1953,Boston,Massachusetts
University of South Carolina,Tom Boswell,1075,206,99,1953,Montgomery,Alabama
University of Louisville,Junior Bridgeman,1076,196,95,1953,East Chicago,Indiana
La Salle University,Joe Bryant,1077,206,83,1954,Philadelphia,Pennsylvania
University of Oregon,Al Carlson,1078,211,106,1951,Oceanside,California
University of Colorado,Jim Creighton,1079,203,90,1950,Billings,Montana
,Darryl Dawkins,1080,211,113,1957,Orlando,Florida
University of Charleston,Henry Dickerson,1081,193,86,1951,Berkley,West Virginia
University of San Francisco,Eric Fernsten,1082,208,92,1953,Oakland,California
Canisius College,Larry Fogle,1083,196,92,1953,Brooklyn,New York
"University of California, Santa Barbara",Don Ford,1084,206,97,1952,Santa Barbara,California
,World B.,1085,206,97,1952,,
University of Illinois at Urbana-Champaign,Donnie Freeman,1086,190,83,1944,Madison,Illinois
University of Kentucky,Kevin Grevey,1087,196,95,1953,Hamilton,Ohio
"California State University, Long Beach",Bob Gross,1088,198,90,1953,San Pedro,California
Michigan State University,Lindsay Hairston,1089,201,81,1951,Detroit,Michigan
Louisiana State University,Glenn Hansen,1090,193,92,1952,Devils Lake,North Dakota
Illinois State University,Robert Hawkins,1091,193,86,1954,Detroit,Michigan
University of New Orleans,Wilbur Holland,1092,183,79,1951,Columbus,Georgia
Arizona State University,Lionel Hollins,1093,190,83,1953,Ark City,Kansas
University of Oregon,Steve Jones,1094,196,92,1942,Alexandria,Louisiana
Stanford University,Rich Kelley,1095,213,106,1953,San Mateo,California
University of Nebraska at Kearney,Tom Kropp,1096,190,92,1953,Grand Island,Nebraska
,C.J. Kupec,1097,190,92,1953,,
University of Southern California,John Lambert,1098,208,102,1953,Berkeley,California
Indiana University,John Laskowski,1099,198,83,1953,South Bend,Indiana
"University of California, Los Angeles",Greg Lee,1100,190,86,1951,Reseda,California
Furman University,Clyde Mayes,1101,203,102,1953,Greenville,South Carolina
Tuskegee University,Ken Mayfield,1102,188,83,1948,Chicago,Illinois
Central Michigan University,Jim McElroy,1103,190,86,1953,Cotton Plant,Arkansas
Indiana University,George McGinnis,1104,203,106,1950,Indianapolis,Indiana
University of Maryland,Tom McMillen,1105,211,97,1952,Elmira,New York
Southern Illinois University,Joe Meriweather,1106,208,97,1953,Phenix City,Alabama
"University of California, Los Angeles",Dave Meyers,1107,203,97,1953,San Diego,California
Seattle University,Frank Oleynick,1108,188,83,1955,Bridgeport,Connecticut
"California State University, Long Beach",Cliff Pondexter,1109,206,105,1954,Fresno,California
DePaul University,Bill Robinzine,1110,201,104,1953,Chicago,Illinois
University of South Carolina,John Roche,1111,190,77,1949,New York,New York
Xavier University of Louisiana,Bruce Seals,1112,203,95,1953,New Orleans,Louisiana
St. John's University,Ed Searcy,1113,198,95,1952,New York,New York
Jackson State University,Gene Short,1114,198,90,1953,Macon,Mississippi
University of Notre Dame,John Shumate,1115,206,106,1952,Greenville,South Carolina
"University of Nevada, Las Vegas",Ricky Sobers,1116,190,89,1953,Bronx,New York
University of Detroit Mercy,Terry Thomas,1117,203,99,1953,Detroit,Michigan
Arizona State University,Rudy White,1118,188,88,1953,Silver City,New Mexico
University of Southern California,Gus Williams,1119,188,79,1953,Mount Vernon,New York
,Bill Willoughby,1120,203,92,1957,Englewood,New Jersey
Indiana University,Tom Abernethy,1121,201,99,1954,South Bend,Indiana
Pepperdine University,Bird Averitt,1122,185,77,1952,Hopkinsville,Kentucky
University of Hawaii,Tom Barker,1123,211,102,1955,Harlingen,Texas
Providence College,Marvin Barnes,1124,203,95,1952,Providence,Rhode Island
Washington State University,Norton Barnhill,1125,193,92,1953,Winston-Salem,North Carolina
Duquesne University,Mike Barr,1126,190,81,1950,Canton,Ohio
University of Georgia,Tim Bassett,1127,203,102,1951,Washington,District of Columbia
University of Denver,Byron Beck,1128,206,102,1945,Ellensburg,Washington
University of Pittsburgh,Mel Bennett,1129,201,90,1955,Pittsburgh,Pennsylvania
Idaho State University,Ron Boone,1130,188,90,1946,Oklahoma City,Oklahoma
Indiana University,Quinn Buckner,1131,190,86,1954,Phoenix,Illinois
University of Utah,Ticky Burden,1132,188,83,1953,Haines City,Florida
University of Evansville,Don Buse,1133,193,86,1950,Huntingburg,Indiana
University of Southern California,Mack Calvin,1134,183,74,1947,Fort Worth,Texas
,M.L. Carr,1135,183,74,1947,,
Bowling Green State University,Cornelius Cash,1136,203,97,1952,Macon,Mississippi
University of Kansas,Norm Cook,1137,203,95,1955,Chicago,Illinois
University of Kentucky,Louie Dampier*,1138,183,77,1944,Indianapolis,Indiana
University of New Mexico,Mel Daniels*,1139,206,99,1944,Detroit,Michigan
University of Notre Dame,Adrian Dantley*,1140,196,94,1956,Washington,District of Columbia
University of Dayton,Johnny Davis,1141,188,77,1955,Detroit,Michigan
Washington State University,Ron Davis,1142,198,89,1954,Phoenix,Arizona
Duke University,Randy Denton,1143,208,108,1949,Raleigh,North Carolina
San Jose State University,Coby Dietrick,1144,208,99,1948,Riverside,California
University of Alabama,Leon Douglas,1145,208,104,1954,Leighton,Alabama
University of South Carolina,Mike Dunleavy,1146,190,81,1954,Brooklyn,New York
Brigham Young University,Jim Eakins,1147,211,97,1946,Sacramento,California
University of Maryland,Len Elmore,1148,206,99,1952,New York,New York
University of North Carolina,Darrell Elston,1149,193,86,1952,Tipton,Indiana
University of South Carolina,Alex English*,1150,201,86,1954,Columbia,South Carolina
University of Massachusetts Amherst,Julius Erving*,1151,201,95,1950,Roosevelt,New York
Vanderbilt University,Butch Feher,1152,193,83,1954,Flint,Michigan
University of Kentucky,Mike Flynn,1153,188,81,1953,Casablanca,Morocco
Michigan State University,Terry Furlow,1154,193,86,1954,Flint,Michigan
Elizabeth City State University,Mike Gale,1155,193,83,1950,Philadelphia,Pennsylvania
University of Virginia,Gus Gerard,1156,203,90,1953,Uniontown,Pennsylvania
Eastern Michigan University,George Gervin*,1157,201,81,1952,Detroit,Michigan
Jacksonville University,Artis Gilmore*,1158,218,108,1949,Chipley,Florida
Louisiana Tech University,Mike Green,1159,208,90,1951,McComb,Mississippi
Indiana University,Steve Green,1160,201,99,1953,Madison,Wisconsin
Western Michigan University,Paul Griffin,1161,206,92,1954,Shelby,Michigan
Syracuse University,Rudy Hackett,1162,206,95,1953,Mount Vernon,New York
Tulane University,Phil Hicks,1163,201,92,1953,Chicago,Illinois
Princeton University,Armond Hill,1164,193,86,1953,Brooklyn,New York
San Jose State University,Darnell Hillman,1165,206,97,1949,Sacramento,California
University of Maryland,Mo Howard,1166,188,77,1954,Philadelphia,Pennsylvania
University of Wisconsin,Kim Hughes,1167,211,99,1952,Freeport,Illinois
University of Kentucky,Dan Issel*,1168,206,106,1948,Batavia,Illinois
Pepperdine University,Dennis Johnson*,1169,193,83,1954,San Pedro,California
University of North Carolina,Bobby Jones,1170,206,95,1951,Charlotte,North Carolina
Albany State University,Caldwell Jones,1171,211,98,1950,McGehee,Arkansas
University of Memphis,Rich Jones,1172,198,99,1946,Memphis,Tennessee
Saint Louis University,Robin Jones,1173,206,102,1954,St. Louis,Missouri
Northwestern University,Wil Jones,1174,190,83,1936,,
University of North Carolina,George Karl,1175,190,83,1952,Penn Hills,Pennsylvania
Texas Christian University,Goo Kennedy,1176,196,92,1949,Charlotte,North Carolina
University of Memphis,Larry Kenon,1177,206,92,1952,Birmingham,Alabama
University of Pittsburgh,Billy Knight,1178,198,88,1952,Braddock,Pennsylvania
University of North Carolina,Mitch Kupchak,1179,206,104,1954,Hicksville,New York
University of Louisiana at Lafayette,Bo Lamar,1180,185,81,1951,Columbus,Ohio
University of Oregon,Ron Lee,1181,193,87,1952,Boston,Massachusetts
Arizona State University,Scott Lloyd,1182,208,104,1952,Chicago,Illinois
University of Maryland,John Lucas,1183,190,79,1953,Durham,North Carolina
Marquette University,Maurice Lucas,1184,206,97,1952,Pittsburgh,Pennsylvania
,Moses Malone*,1185,208,97,1955,Petersburg,Virginia
Indiana University,Scott May,1186,201,97,1954,Sandusky,Ohio
"University of California, Los Angeles",Andre McCarter,1187,190,86,1953,Philadelphia,Pennsylvania
Tennessee State University,Ted McClain,1188,185,81,1946,Nashville,Tennessee
University of Louisville,Allen Murphy,1189,196,86,1952,Birmingham,Alabama
"University of California, Los Angeles",Swen Nater,1190,211,108,1950,Denhelder,Netherlands
University of Mississippi,Johnny Neumann,1191,198,90,1951,Memphis,Tennessee
University of Minnesota,Mark Olberding,1192,203,102,1956,Melrose,Minnesota
University of South Carolina,Tom Owens,1193,208,97,1949,Bronx,New York
Coppin State University,Joe Pace,1194,208,99,1953,New Brunswick,New Jersey
Centenary College of Louisiana,Robert Parish*,1195,213,104,1953,Shreveport,Louisiana
Texas A&M University,Sonny Parker,1196,198,90,1955,Chicago,Illinois
St. John's University,Billy Paultz,1197,211,106,1948,River Edge,New Jersey
Utah State University,Marv Roberts,1198,203,90,1950,Brooklyn,New York
University of Kansas,Dave Robisch,1199,208,106,1949,Cincinnati,Ohio
University of Texas-Pan American,Marshall Rogers,1200,185,86,1953,St. Louis,Missouri
Central Michigan University,Dan Roundfield,1201,203,92,1953,Detroit,Michigan
Rutgers University,Phil Sellers,1202,193,88,1953,Brooklyn,New York
Oregon State University,Lonnie Shelton,1203,203,108,1955,Bakersfield,California
Stephen F. Austin State University,James Silas,1204,185,81,1949,Tallulah,Louisiana
Michigan State University,Ralph Simpson,1205,196,90,1949,Detroit,Michigan
University of Massachusetts Amherst,Al Skinner,1206,190,86,1952,Mount Vernon,New York
Syracuse University,Willie Smith,1207,213,99,1949,,
University of Pittsburgh,Keith Starr,1208,198,86,1954,Sewickley,Pennsylvania
Marquette University,Earl Tatum,1209,196,83,1953,Mount Vernon,New York
Princeton University,Brian Taylor,1210,188,83,1951,Perth Amboy,New Jersey
La Salle University,Fatty Taylor,1211,183,79,1946,Washington,District of Columbia
Southern Methodist University,Ira Terrell,1212,203,90,1954,Dallas,Texas
Stanford University,Claude Terry,1213,193,88,1950,Salida,California
North Carolina State University,David Thompson*,1214,193,88,1954,Shelby,North Carolina
North Carolina State University,Monte Towe,1215,170,68,1953,Marion,Indiana
Old Dominion University,Dave Twardzik,1216,185,79,1950,Hershey,Pennsylvania
,Jan Van,1217,185,79,1950,,
Niagara University,Andy Walker,1218,193,86,1955,Long Island City,New York
University of Virginia,Wally Walker,1219,201,86,1954,Millersville,Pennsylvania
Marquette University,Lloyd Walton,1220,183,72,1953,Chicago,Illinois
Jackson State University,Henry Ward,1221,193,88,1952,Jackson,Mississippi
"University of California, Los Angeles",Richard Washington,1222,211,99,1955,Portland,Oregon
Morgan State University,Marvin Webster,1223,216,102,1952,Baltimore,Maryland
Indiana University,Bob Wilkerson,1224,198,88,1954,Anderson,Indiana
Seattle University,Chuck Williams,1225,183,74,1943,Colorado Springs,Colorado
Seattle University,Chuckie Williams,1226,183,74,1943,Colorado Springs,Colorado
New Mexico State University,John Williamson,1227,188,83,1951,New Haven,Connecticut
Drake University,Willie Wise,1228,196,95,1947,San Francisco,California
Grambling State University,Larry Wright,1229,185,72,1954,Monroe,Louisiana
Duke University,Tate Armstrong,1230,190,79,1955,Moultrie,Georgia
University of Oregon,Greg Ballard,1231,201,97,1955,Los Angeles,California
Indiana University,Kent Benson,1232,208,106,1954,New Castle,Indiana
University of Houston,Otis Birdsong,1233,190,86,1955,Winter Haven,Florida
University of Louisville,Phil Bond,1234,188,79,1954,Louisville,Kentucky
New Mexico State University,Jim Bostic,1235,201,102,1953,Brooklyn,New York
Texas Southern University,Alonzo Bradley,1236,198,86,1953,Utica,Mississippi
Stanford University,Mike Bratz,1237,188,83,1955,Lompoc,California
University of Michigan,Wayman Britt,1238,188,83,1952,Wilson Mills,North Carolina
North Carolina State University,Kenny Carr,1239,201,99,1955,Washington,District of Columbia
Boston College,Bob Carrington,1240,198,88,1953,Brookline,Massachusetts
University of Louisville,Wesley Cox,1241,198,97,1955,Louisville,Kentucky
New Mexico State University,Charlie Criss,1242,173,74,1948,Valhalla,New York
Duke University,Mark Crow,1243,201,95,1954,Edwards AFB,California
University of Maryland,Brad Davis,1244,190,81,1955,Monaca,Pennsylvania
Texas A&M University,Walter Davis,1245,203,92,1931,Beaumont,Texas
University of Georgia,Jacky Dorsey,1246,201,104,1954,Atlanta,Georgia
,T.R. Dunn,1247,201,104,1954,,
University of Washington,James Edwards,1248,213,102,1955,Seattle,Washington
Niagara University,Bo Ellis,1249,196,83,1936,,
University of Arizona,Al Fleming,1250,201,97,1954,Chicago,Illinois
Grand Canyon University,Bayard Forrest,1251,208,106,1954,San Jose,California
Southern Illinois University,Mike Glenn,1252,188,79,1955,Rome,Georgia
"University of Nevada, Las Vegas",Glen Gondrezick,1253,198,98,1955,Boulder,Colorado
University of Michigan,Rickey Green,1254,183,77,1954,Chicago,Illinois
Idaho State University,Greg Griffin,1255,201,86,1952,Cleveland,Ohio
University of Tennessee,Ernie Grunfeld,1256,198,95,1955,Satu-Mare,Romania
Providence College,Joe Hassett,1257,196,81,1955,Providence,Rhode Island
Tennessee State University,Eddie Johnson,1258,203,92,1944,Atlanta,Georgia
University of Kentucky,Larry Johnson,1259,190,92,1954,Morganfield,Kentucky
"University of California, Los Angeles",Marques Johnson,1260,201,98,1956,Nachitoches,Louisiana
Rutgers University,Eddie Jordan,1261,185,77,1955,Washington,District of Columbia
University of Tennessee,Bernard King*,1262,201,92,1956,Brooklyn,New York
University of Notre Dame,Toby Knight,1263,206,95,1955,Bronx,New York
University of North Carolina,John Kuester,1264,188,81,1955,Richmond,Virginia
University of North Carolina,Tom LaGarde,1265,208,99,1955,Detroit,Michigan
Arizona State University,Mark Landsberger,1266,203,97,1955,Minot,North Dakota
Hofstra University,Rich Laurel,1267,198,86,1954,Philadelphia,Pennsylvania
Manhattan College,Ricky Marsh,1268,190,90,1954,New York,New York
University of North Carolina at Charlotte,Cedric Maxwell,1269,203,92,1955,Kinston,North Carolina
"University of Nevada, Las Vegas",Larry Moffett,1270,203,95,1954,Mobile,Alabama
Seton Hall University,Glenn Mosley,1271,203,88,1955,Newark,New Jersey
Duquesne University,Norm Nixon,1272,188,77,1955,Macon,Georgia
"University of Nevada, Las Vegas",Eddie Owens,1273,201,95,1953,,
Central Michigan University,Ben Poquette,1274,206,106,1955,Ann Arbor,Michigan
St. Mary's University,Robert Reid,1275,203,92,1955,Atlanta,Georgia
Oral Roberts University,Anthony Roberts,1276,196,83,1955,Chattanooga,Tennessee
West Virginia University,Tony Robertson,1277,193,88,1956,Detroit,Michigan
Clemson University,Tree Rollins,1278,216,106,1955,Winter Haven,Florida
Oral Roberts University,Alvin Scott,1279,201,83,1955,Cleveland,Tennessee
University of Maryland,Steve Sheppard,1280,198,97,1954,New York,New York
Illinois Wesleyan University,Jack Sikma,1281,211,104,1955,Kankakee,Illinois
University of Missouri,Scott Sims,1282,185,77,1955,Kirksville,Missouri
"University of Nevada, Las Vegas",Robert Smith,1283,180,74,1955,Los Angeles,California
Millersville University of Pennsylvania,Phil Walker,1284,190,81,1956,Philadelphia,Pennsylvania
Old Dominion University,Wilson Washington,1285,206,102,1955,Norfolk,Virginia
University of Minnesota,Ray Williams,1286,190,85,1954,Mount Vernon,New York
University of Missouri,Kim Anderson,1287,201,90,1955,Sedalia,Missouri
California University of Pennslyvania,Del Beshore,1288,180,74,1956,Mechanicsburg,Pennsylvania
University of Detroit Mercy,Dennis Boyd,1289,185,79,1954,Portsmouth,Virginia
University of San Francisco,Winford Boynes,1290,198,83,1957,Greenville,South Carolina
University of Arkansas,Ron Brewer,1291,193,81,1955,Fort Smith,Arkansas
"California State University, Fullerton",Greg Bunch,1292,198,86,1956,San Bernardino,California
Syracuse University,Marty Byrnes,1293,201,97,1956,Syracuse,New York
Virginia Military Institute,Ron Carter,1294,196,86,1956,Pittsburgh,Pennsylvania
West Texas A&M University,Maurice Cheeks,1295,185,81,1956,Chicago,Illinois
University of New Mexico,Michael Cooper,1296,196,77,1956,Los Angeles,California
University of New Orleans,Wayne Cooper,1297,208,99,1956,Milan,Georgia
DePaul University,Dave Corzine,1298,211,113,1956,Arlington Heights,Illinois
University of North Carolina,Geoff Crompton,1299,211,127,1955,Burlington,North Carolina
Florida State University,Harry Davis,1300,201,99,1956,Cleveland,Ohio
University of Arizona,Bob Elliott,1301,206,102,1955,Ann Arbor,Michigan
Norfolk State University,Ray Epps,1302,198,88,1956,Amelia,Virginia
University of North Carolina,Phil Ford,1303,188,79,1956,Rocky Mount,North Carolina
University of Kentucky,Jack Givens,1304,196,92,1956,Lexington,Kentucky
Southern University and A&M College,Tommie Green,1305,188,83,1956,Baton Rouge,Louisiana
University of Washington,Lars Hansen,1306,208,102,1954,Copenhagen,Denmark
University of San Francisco,James Hardy,1307,203,99,1956,Knoxville,Alabama
Villanova University,Keith Herron,1308,198,88,1956,Memphis,Tennessee
Louisiana State University,Kenny Higgs,1309,183,81,1955,Owensboro,Kentucky
St. Bonaventure University,Essie Hollis,1310,198,88,1955,Erie,Pennsylvania
Austin Peay State University,Otis Howard,1311,201,99,1956,Oak Ridge,Tennessee
Florida Agricultural and Mechanical University,Clemon Johnson,1312,208,108,1956,Monticello,Florida
University of Utah,Jeff Judkins,1313,198,83,1956,Salt Lake City,Utah
San Diego State University,Joel Kramer,1314,201,92,1955,San Diego,California
Marquette University,Butch Lee,1315,183,83,1956,Santurce,Puerto Rico
University of Detroit Mercy,John Long,1316,196,88,1956,Romulus,Michigan
Northwestern University,Billy McKinney,1317,183,72,1955,Waukegan,Illinois
Auburn University,Mike Mitchell,1318,201,97,1956,Atlanta,Georgia
Villanova University,John Olive,1319,201,95,1955,Philadelphia,Pennsylvania
Bradley University,Roger Phegley,1320,198,92,1956,East Peoria,Illinois
Auburn University,Stan Pietkiewicz,1321,196,90,1956,Huntsville,Alabama
Indiana University,Wayne Radford,1322,190,92,1956,Indianapolis,Indiana
University of San Francisco,Marlon Redmond,1323,198,85,1955,San Francisco,California
,Micheal Ray,1324,198,85,1955,,
University of Kentucky,Rick Robey,1325,211,104,1956,Coral Gables,Florida
"University of Nevada, Las Vegas",Jackie Robinson,1326,198,95,1955,Los Angeles,California
McNeese State University,John Rudd,1327,201,104,1955,DeRidder,Louisiana
Southern University and A&M College,Frankie Sanders,1328,198,90,1957,Dayton,Ohio
Jackson State University,Purvis Short,1329,201,95,1957,Hattiesburg,Mississippi
Kentucky Wesleyan College,Sam Smith,1330,201,104,1944,Hazard,Kentucky
"University of Nevada, Las Vegas",Reggie Theus,1331,201,86,1957,Inglewood,California
University of Minnesota,Mychal Thompson,1332,208,102,1955,Nassau,Bahamas
"University of California, Los Angeles",Raymond Townsend,1333,190,79,1955,San Jose,California
University of Detroit Mercy,Terry Tyler,1334,201,97,1956,Detroit,Michigan
Loyola University of Chicago,Andre Wakefield,1335,190,79,1955,Chicago,Illinois
Marquette University,Jerome Whitehead,1336,208,99,1956,Waukegan,Illinois
Portland State University,Freeman Williams,1337,193,86,1956,Los Angeles,California
University of Louisville,Rick Wilson,1338,196,90,1956,Louisville,Kentucky
Rutgers University,James Bailey,1339,206,99,1957,Dublin,Georgia
,Billy Ray,1340,206,99,1957,,
Indiana State University,Larry Bird*,1341,206,99,1956,West Baden,Indiana
University of Maryland,Lawrence Boston,1342,203,102,1956,Cleveland,Ohio
University of North Carolina,Dudley Bradley,1343,198,88,1957,Baltimore,Maryland
University of San Francisco,Bill Cartwright,1344,216,111,1957,Lodi,California
Idaho State University,Jeff Cook,1345,208,97,1956,West Covina,California
Rutgers University,Hollis Copeland,1346,198,81,1955,Trenton,New Jersey
University of California,John Coughran,1347,201,102,1951,Pittsburg,California
University of Tennessee,Terry Crosby,1348,193,88,1957,Toledo,Ohio
University of Cincinnati,Pat Cummings,1349,206,104,1956,Johnstown,Pennsylvania
Northern Illinois University,Paul Dawkins,1350,196,86,1957,Saginaw,Michigan
University of Utah,Greg Deane,1351,193,86,1957,Tulare,California
University of Arizona,Larry Demic,1352,206,102,1957,Gary,Indiana
University of Detroit Mercy,Terry Duerod,1353,188,81,1956,Royal Oak,Michigan
"University of Nevada, Las Vegas",Earl Evans,1354,203,91,1955,Port Arthur,Texas
Kansas State University,Mike Evans,1355,185,77,1955,Goldsboro,North Carolina
DePaul University,Gary Garland,1356,193,81,1957,East Orange,New Jersey
"University of California, Los Angeles",Dave Greenwood,1357,206,100,1957,Lynwood,California
"University of California, Los Angeles",Roy Hamilton,1358,188,81,1957,Los Angeles,California
Virginia Commonwealth University,Gerald Henderson,1359,188,79,1956,Richmond,Virginia
"University of Nevada, Reno",Johnny High,1360,190,83,1957,Birmingham,Alabama
"University of California, Los Angeles",Brad Holland,1361,190,81,1956,Billings,Montana
University of Michigan,Phil Hubbard,1362,203,97,1956,Canton,Ohio
