team1,team2,id,season,city,date,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
Chennai Super Kings,Royal Challengers Bangalore,302,2011,Bangalore,5/22/2011,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,8,CH Gayle,M Chinnaswamy Stadium,K Hariharan,RE Koertzen,
Kolkata Knight Riders,Mumbai Indians,303,2011,Kolkata,5/22/2011,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,JEC Franklin,Eden Gardens,SK Tarapore,SJA Taufel,
Royal Challengers Bangalore,Chennai Super Kings,304,2011,Mumbai,5/24/2011,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,6,SK Raina,Wankhede Stadium,Asad Rauf,SJA Taufel,
Kolkata Knight Riders,Mumbai Indians,305,2011,Mumbai,5/25/2011,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,MM Patel,Wankhede Stadium,Asad Rauf,SJA Taufel,
Royal Challengers Bangalore,Mumbai Indians,306,2011,Chennai,5/27/2011,Mumbai Indians,field,normal,0,Royal Challengers Bangalore,43,0,CH Gayle,"MA Chidambaram Stadium, Chepauk",Asad Rauf,SJA Taufel,
Chennai Super Kings,Royal Challengers Bangalore,307,2011,Chennai,5/28/2011,Chennai Super Kings,bat,normal,0,Chennai Super Kings,58,0,M Vijay,"MA Chidambaram Stadium, Chepauk",Asad Rauf,SJA Taufel,
Chennai Super Kings,Mumbai Indians,308,2012,Chennai,4/4/2012,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,RE Levi,"MA Chidambaram Stadium, Chepauk",JD Cloete,SJA Taufel,
Kolkata Knight Riders,Delhi Daredevils,309,2012,Kolkata,4/5/2012,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,8,IK Pathan,Eden Gardens,S Asnani,HDPK Dharmasena,
Pune Warriors,Mumbai Indians,310,2012,Mumbai,4/6/2012,Mumbai Indians,field,normal,0,Pune Warriors,28,0,SPD Smith,Wankhede Stadium,AK Chaudhary,SJA Taufel,
Rajasthan Royals,Kings XI Punjab,311,2012,Jaipur,4/6/2012,Kings XI Punjab,field,normal,0,Rajasthan Royals,31,0,AM Rahane,Sawai Mansingh Stadium,BF Bowden,SK Tarapore,
Royal Challengers Bangalore,Delhi Daredevils,312,2012,Bangalore,4/7/2012,Delhi Daredevils,field,normal,0,Royal Challengers Bangalore,20,0,AB de Villiers,M Chinnaswamy Stadium,S Asnani,S Ravi,
Chennai Super Kings,Deccan Chargers,313,2012,Visakhapatnam,4/7/2012,Deccan Chargers,field,normal,0,Chennai Super Kings,74,0,RA Jadeja,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,JD Cloete,HDPK Dharmasena,
Rajasthan Royals,Kolkata Knight Riders,314,2012,Jaipur,4/8/2012,Kolkata Knight Riders,field,normal,0,Rajasthan Royals,22,0,BJ Hodge,Sawai Mansingh Stadium,BF Bowden,VA Kulkarni,
Pune Warriors,Kings XI Punjab,315,2012,Pune,4/8/2012,Pune Warriors,bat,normal,0,Pune Warriors,22,0,MN Samuels,Subrata Roy Sahara Stadium,S Das,SJA Taufel,
Deccan Chargers,Mumbai Indians,316,2012,Visakhapatnam,4/9/2012,Deccan Chargers,bat,normal,0,Mumbai Indians,0,5,RG Sharma,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,AK Chaudhary,JD Cloete,
Kolkata Knight Riders,Royal Challengers Bangalore,317,2012,Bangalore,4/10/2012,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,42,0,L Balaji,M Chinnaswamy Stadium,S Ravi,RJ Tucker,
Chennai Super Kings,Delhi Daredevils,318,2012,Delhi,4/10/2012,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,8,M Morkel,Feroz Shah Kotla,Asad Rauf,SK Tarapore,
Mumbai Indians,Rajasthan Royals,319,2012,Mumbai,4/11/2012,Rajasthan Royals,field,normal,0,Mumbai Indians,27,0,KA Pollard,Wankhede Stadium,Aleem Dar,BNJ Oxenford,
Royal Challengers Bangalore,Chennai Super Kings,320,2012,Chennai,4/12/2012,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,0,5,F du Plessis,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,RJ Tucker,
Pune Warriors,Kings XI Punjab,321,2012,Chandigarh,4/12/2012,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,7,AD Mascarenhas,"Punjab Cricket Association Stadium, Mohali",VA Kulkarni,SK Tarapore,
Rajasthan Royals,Kolkata Knight Riders,322,2012,Kolkata,4/13/2012,Rajasthan Royals,bat,normal,0,Kolkata Knight Riders,0,5,Shakib Al Hasan,Eden Gardens,Asad Rauf,S Asnani,
Deccan Chargers,Delhi Daredevils,323,2012,Delhi,4/19/2012,Deccan Chargers,bat,normal,0,Delhi Daredevils,0,5,KP Pietersen,Feroz Shah Kotla,BF Bowden,SK Tarapore,
Chennai Super Kings,Pune Warriors,324,2012,Pune,4/14/2012,Chennai Super Kings,bat,normal,0,Pune Warriors,0,7,JD Ryder,Subrata Roy Sahara Stadium,Aleem Dar,BNJ Oxenford,
Kings XI Punjab,Kolkata Knight Riders,325,2012,Kolkata,4/15/2012,Kolkata Knight Riders,field,normal,0,Kings XI Punjab,2,0,SP Narine,Eden Gardens,Asad Rauf,S Asnani,
Rajasthan Royals,Royal Challengers Bangalore,326,2012,Bangalore,4/15/2012,Rajasthan Royals,bat,normal,0,Rajasthan Royals,59,0,AM Rahane,M Chinnaswamy Stadium,JD Cloete,RJ Tucker,
Mumbai Indians,Delhi Daredevils,327,2012,Mumbai,4/16/2012,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,7,S Nadeem,Wankhede Stadium,BF Bowden,SK Tarapore,
Deccan Chargers,Rajasthan Royals,328,2012,Jaipur,4/17/2012,Deccan Chargers,bat,normal,0,Rajasthan Royals,0,5,BJ Hodge,Sawai Mansingh Stadium,Aleem Dar,BNJ Oxenford,
Pune Warriors,Royal Challengers Bangalore,329,2012,Bangalore,4/17/2012,Pune Warriors,bat,normal,0,Royal Challengers Bangalore,0,6,CH Gayle,M Chinnaswamy Stadium,S Asnani,S Das,
Kings XI Punjab,Kolkata Knight Riders,330,2012,Chandigarh,4/18/2012,Kings XI Punjab,bat,normal,0,Kolkata Knight Riders,0,8,G Gambhir,"Punjab Cricket Association Stadium, Mohali",JD Cloete,RJ Tucker,
Deccan Chargers,Delhi Daredevils,331,2012,Hyderabad,5/10/2012,Deccan Chargers,bat,normal,0,Delhi Daredevils,0,9,DA Warner,"Rajiv Gandhi International Stadium, Uppal",JD Cloete,SJA Taufel,
Chennai Super Kings,Pune Warriors,332,2012,Chennai,4/19/2012,Pune Warriors,field,normal,0,Chennai Super Kings,13,0,KMDN Kulasekara,"MA Chidambaram Stadium, Chepauk",Asad Rauf,S Das,
Kings XI Punjab,Royal Challengers Bangalore,333,2012,Chandigarh,4/20/2012,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,5,CH Gayle,"Punjab Cricket Association Stadium, Mohali",S Ravi,RJ Tucker,
Rajasthan Royals,Chennai Super Kings,334,2012,Chennai,4/21/2012,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,7,F du Plessis,"MA Chidambaram Stadium, Chepauk",Aleem Dar,BNJ Oxenford,
Pune Warriors,Delhi Daredevils,335,2012,Delhi,4/21/2012,Delhi Daredevils,field,normal,0,Pune Warriors,20,0,SC Ganguly,Feroz Shah Kotla,Asad Rauf,S Das,
Mumbai Indians,Kings XI Punjab,336,2012,Mumbai,4/22/2012,Mumbai Indians,bat,normal,0,Kings XI Punjab,0,6,SE Marsh,Wankhede Stadium,S Ravi,RJ Tucker,
Deccan Chargers,Kolkata Knight Riders,337,2012,Cuttack,4/22/2012,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,5,B Lee,Barabati Stadium,BF Bowden,SK Tarapore,
Royal Challengers Bangalore,Rajasthan Royals,338,2012,Jaipur,4/23/2012,Rajasthan Royals,field,normal,0,Royal Challengers Bangalore,46,0,AB de Villiers,Sawai Mansingh Stadium,Asad Rauf,S Asnani,
Pune Warriors,Delhi Daredevils,339,2012,Pune,4/24/2012,Pune Warriors,bat,normal,0,Delhi Daredevils,0,8,V Sehwag,Subrata Roy Sahara Stadium,S Ravi,RJ Tucker,
Kings XI Punjab,Mumbai Indians,340,2012,Chandigarh,4/25/2012,Kings XI Punjab,bat,normal,0,Mumbai Indians,0,4,AT Rayudu,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,BNJ Oxenford,
Deccan Chargers,Pune Warriors,341,2012,Pune,4/26/2012,Deccan Chargers,bat,normal,0,Deccan Chargers,18,0,CL White,Subrata Roy Sahara Stadium,S Ravi,RJ Tucker,
Delhi Daredevils,Mumbai Indians,342,2012,Delhi,4/27/2012,Mumbai Indians,field,normal,0,Delhi Daredevils,37,0,V Sehwag,Feroz Shah Kotla,Aleem Dar,BNJ Oxenford,
Kings XI Punjab,Chennai Super Kings,343,2012,Chennai,4/28/2012,Kings XI Punjab,bat,normal,0,Kings XI Punjab,7,0,Mandeep Singh,"MA Chidambaram Stadium, Chepauk",BF Bowden,SK Tarapore,
Kolkata Knight Riders,Royal Challengers Bangalore,344,2012,Kolkata,4/28/2012,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,47,0,G Gambhir,Eden Gardens,Asad Rauf,BR Doctrove,
Delhi Daredevils,Rajasthan Royals,345,2012,Delhi,4/29/2012,Delhi Daredevils,bat,normal,0,Delhi Daredevils,1,0,V Sehwag,Feroz Shah Kotla,S Ravi,RJ Tucker,
Deccan Chargers,Mumbai Indians,346,2012,Mumbai,4/29/2012,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,DW Steyn,Wankhede Stadium,AK Chaudhary,BNJ Oxenford,
Chennai Super Kings,Kolkata Knight Riders,347,2012,Chennai,4/30/2012,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,0,5,G Gambhir,"MA Chidambaram Stadium, Chepauk",BF Bowden,C Shamshuddin,
Deccan Chargers,Pune Warriors,348,2012,Cuttack,5/1/2012,Deccan Chargers,bat,normal,0,Deccan Chargers,13,0,KC Sangakkara,Barabati Stadium,Aleem Dar,AK Chaudhary,
Rajasthan Royals,Delhi Daredevils,349,2012,Jaipur,5/1/2012,Rajasthan Royals,bat,normal,0,Delhi Daredevils,0,6,P Negi,Sawai Mansingh Stadium,JD Cloete,SJA Taufel,
Royal Challengers Bangalore,Kings XI Punjab,350,2012,Bangalore,5/2/2012,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,4,Azhar Mahmood,M Chinnaswamy Stadium,BF Bowden,C Shamshuddin,
Mumbai Indians,Pune Warriors,351,2012,Pune,5/3/2012,Mumbai Indians,bat,normal,0,Mumbai Indians,1,0,SL Malinga,Subrata Roy Sahara Stadium,Asad Rauf,S Asnani,
Chennai Super Kings,Deccan Chargers,352,2012,Chennai,5/4/2012,Chennai Super Kings,bat,normal,0,Chennai Super Kings,10,0,SK Raina,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,BNJ Oxenford,
Kolkata Knight Riders,Pune Warriors,353,2012,Kolkata,5/5/2012,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,7,0,SP Narine,Eden Gardens,BF Bowden,SK Tarapore,
Rajasthan Royals,Kings XI Punjab,354,2012,Chandigarh,5/5/2012,Rajasthan Royals,bat,normal,0,Rajasthan Royals,43,0,SR Watson,"Punjab Cricket Association Stadium, Mohali",JD Cloete,SJA Taufel,
Chennai Super Kings,Mumbai Indians,355,2012,Mumbai,5/6/2012,Mumbai Indians,field,normal,0,Mumbai Indians,0,2,DR Smith,Wankhede Stadium,Asad Rauf,S Asnani,
Deccan Chargers,Royal Challengers Bangalore,356,2012,Bangalore,5/6/2012,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,5,AB de Villiers,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford,
Delhi Daredevils,Kolkata Knight Riders,357,2012,Delhi,5/7/2012,Delhi Daredevils,bat,normal,0,Kolkata Knight Riders,0,6,JH Kallis,Feroz Shah Kotla,JD Cloete,S Ravi,
Pune Warriors,Rajasthan Royals,358,2012,Pune,5/8/2012,Pune Warriors,bat,normal,0,Rajasthan Royals,0,7,SR Watson,Subrata Roy Sahara Stadium,Asad Rauf,BR Doctrove,
Kings XI Punjab,Deccan Chargers,359,2012,Hyderabad,5/8/2012,Deccan Chargers,field,normal,0,Kings XI Punjab,25,0,Mandeep Singh,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,BNJ Oxenford,
Mumbai Indians,Royal Challengers Bangalore,360,2012,Mumbai,5/9/2012,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,9,CH Gayle,Wankhede Stadium,BF Bowden,VA Kulkarni,
Rajasthan Royals,Chennai Super Kings,361,2012,Jaipur,5/10/2012,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,4,BW Hilfenhaus,Sawai Mansingh Stadium,BNJ Oxenford,C Shamshuddin,
Royal Challengers Bangalore,Pune Warriors,362,2012,Pune,5/11/2012,Pune Warriors,field,normal,0,Royal Challengers Bangalore,35,0,CH Gayle,Subrata Roy Sahara Stadium,BF Bowden,SK Tarapore,
Mumbai Indians,Kolkata Knight Riders,363,2012,Kolkata,5/12/2012,Mumbai Indians,bat,normal,0,Mumbai Indians,27,0,RG Sharma,Eden Gardens,S Ravi,SJA Taufel,
Delhi Daredevils,Chennai Super Kings,364,2012,Chennai,5/12/2012,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,9,BW Hilfenhaus,"MA Chidambaram Stadium, Chepauk",S Das,BR Doctrove,
Rajasthan Royals,Pune Warriors,365,2012,Jaipur,5/13/2012,Rajasthan Royals,bat,normal,0,Rajasthan Royals,45,0,A Chandila,Sawai Mansingh Stadium,BF Bowden,SK Tarapore,
Deccan Chargers,Kings XI Punjab,366,2012,Chandigarh,5/13/2012,Deccan Chargers,bat,normal,0,Kings XI Punjab,0,4,DJ Hussey,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,BNJ Oxenford,
Royal Challengers Bangalore,Mumbai Indians,367,2012,Bangalore,5/14/2012,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,AT Rayudu,M Chinnaswamy Stadium,S Das,BR Doctrove,
Kolkata Knight Riders,Chennai Super Kings,368,2012,Kolkata,5/14/2012,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,5,MEK Hussey,Eden Gardens,JD Cloete,SJA Taufel,
Kings XI Punjab,Delhi Daredevils,369,2012,Delhi,5/15/2012,Kings XI Punjab,bat,normal,0,Delhi Daredevils,0,5,UT Yadav,Feroz Shah Kotla,HDPK Dharmasena,BNJ Oxenford,
Kolkata Knight Riders,Mumbai Indians,370,2012,Mumbai,5/16/2012,Mumbai Indians,field,normal,0,Kolkata Knight Riders,32,0,SP Narine,Wankhede Stadium,S Das,BR Doctrove,
Chennai Super Kings,Kings XI Punjab,371,2012,Dharamsala,5/17/2012,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,AC Gilchrist,Himachal Pradesh Cricket Association Stadium,VA Kulkarni,SK Tarapore,
Royal Challengers Bangalore,Delhi Daredevils,372,2012,Delhi,5/17/2012,Delhi Daredevils,field,normal,0,Royal Challengers Bangalore,21,0,CH Gayle,Feroz Shah Kotla,HDPK Dharmasena,C Shamshuddin,
Rajasthan Royals,Deccan Chargers,373,2012,Hyderabad,5/18/2012,Rajasthan Royals,bat,normal,0,Deccan Chargers,0,5,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",S Ravi,SJA Taufel,
Kings XI Punjab,Delhi Daredevils,374,2012,Dharamsala,5/19/2012,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,6,UT Yadav,Himachal Pradesh Cricket Association Stadium,BF Bowden,VA Kulkarni,
Kolkata Knight Riders,Pune Warriors,375,2012,Pune,5/19/2012,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,34,0,Shakib Al Hasan,Subrata Roy Sahara Stadium,S Asnani,BR Doctrove,
Deccan Chargers,Royal Challengers Bangalore,376,2012,Hyderabad,5/20/2012,Royal Challengers Bangalore,field,normal,0,Deccan Chargers,9,0,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",S Ravi,SJA Taufel,
Rajasthan Royals,Mumbai Indians,377,2012,Jaipur,5/20/2012,Rajasthan Royals,bat,normal,0,Mumbai Indians,0,10,DR Smith,Sawai Mansingh Stadium,HDPK Dharmasena,C Shamshuddin,
Kolkata Knight Riders,Delhi Daredevils,378,2012,Pune,5/22/2012,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,18,0,YK Pathan,Subrata Roy Sahara Stadium,BR Doctrove,SJA Taufel,
Chennai Super Kings,Mumbai Indians,379,2012,Bangalore,5/23/2012,Mumbai Indians,field,normal,0,Chennai Super Kings,38,0,MS Dhoni,M Chinnaswamy Stadium,BF Bowden,HDPK Dharmasena,
Chennai Super Kings,Delhi Daredevils,380,2012,Chennai,5/25/2012,Delhi Daredevils,field,normal,0,Chennai Super Kings,86,0,M Vijay,"MA Chidambaram Stadium, Chepauk",BR Doctrove,SJA Taufel,
Chennai Super Kings,Kolkata Knight Riders,381,2012,Chennai,5/27/2012,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,0,5,MS Bisla,"MA Chidambaram Stadium, Chepauk",BF Bowden,SJA Taufel,
Delhi Daredevils,Kolkata Knight Riders,382,2013,Kolkata,4/3/2013,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,SP Narine,Eden Gardens,S Ravi,SJA Taufel,
Royal Challengers Bangalore,Mumbai Indians,383,2013,Bangalore,4/4/2013,Mumbai Indians,field,normal,0,Royal Challengers Bangalore,2,0,CH Gayle,M Chinnaswamy Stadium,VA Kulkarni,C Shamshuddin,
Sunrisers Hyderabad,Pune Warriors,384,2013,Hyderabad,4/5/2013,Pune Warriors,field,normal,0,Sunrisers Hyderabad,22,0,A Mishra,"Rajiv Gandhi International Stadium, Uppal",S Ravi,SJA Taufel,
Rajasthan Royals,Delhi Daredevils,385,2013,Delhi,4/6/2013,Rajasthan Royals,bat,normal,0,Rajasthan Royals,5,0,R Dravid,Feroz Shah Kotla,S Das,C Shamshuddin,
Mumbai Indians,Chennai Super Kings,386,2013,Chennai,4/6/2013,Mumbai Indians,bat,normal,0,Mumbai Indians,9,0,KA Pollard,"MA Chidambaram Stadium, Chepauk",M Erasmus,VA Kulkarni,
Pune Warriors,Kings XI Punjab,387,2013,Pune,4/7/2013,Pune Warriors,bat,normal,0,Kings XI Punjab,0,8,M Vohra,Subrata Roy Sahara Stadium,S Asnani,SJA Taufel,
Royal Challengers Bangalore,Sunrisers Hyderabad,388,2013,Hyderabad,4/7/2013,Royal Challengers Bangalore,bat,tie,0,Sunrisers Hyderabad,0,0,GH Vihari,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,S Ravi,
Rajasthan Royals,Kolkata Knight Riders,389,2013,Jaipur,4/8/2013,Kolkata Knight Riders,field,normal,0,Rajasthan Royals,19,0,SK Trivedi,Sawai Mansingh Stadium,Aleem Dar,S Das,
Mumbai Indians,Delhi Daredevils,390,2013,Mumbai,4/9/2013,Mumbai Indians,bat,normal,0,Mumbai Indians,44,0,KD Karthik,Wankhede Stadium,M Erasmus,VA Kulkarni,
Kings XI Punjab,Chennai Super Kings,391,2013,Chandigarh,4/10/2013,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,10,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,C Shamshuddin,
Kolkata Knight Riders,Royal Challengers Bangalore,392,2013,Bangalore,4/11/2013,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,8,CH Gayle,M Chinnaswamy Stadium,Asad Rauf,AK Chaudhary,
Rajasthan Royals,Pune Warriors,393,2013,Pune,4/11/2013,Rajasthan Royals,bat,normal,0,Pune Warriors,0,7,AJ Finch,Subrata Roy Sahara Stadium,M Erasmus,K Srinath,
Delhi Daredevils,Sunrisers Hyderabad,394,2013,Delhi,4/12/2013,Delhi Daredevils,bat,normal,0,Sunrisers Hyderabad,0,3,A Mishra,Feroz Shah Kotla,Aleem Dar,Subroto Das,
Mumbai Indians,Pune Warriors,395,2013,Mumbai,4/13/2013,Mumbai Indians,bat,normal,0,Mumbai Indians,41,0,RG Sharma,Wankhede Stadium,S Ravi,SJA Taufel,
Royal Challengers Bangalore,Chennai Super Kings,396,2013,Chennai,4/13/2013,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,4,RA Jadeja,"MA Chidambaram Stadium, Chepauk",Asad Rauf,AK Chaudhary,
Kolkata Knight Riders,Sunrisers Hyderabad,397,2013,Kolkata,4/14/2013,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,48,0,G Gambhir,Eden Gardens,M Erasmus,VA Kulkarni,
Kings XI Punjab,Rajasthan Royals,398,2013,Jaipur,4/14/2013,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,JP Faulkner,Sawai Mansingh Stadium,Aleem Dar,C Shamshuddin,
Pune Warriors,Chennai Super Kings,399,2013,Chennai,4/15/2013,Pune Warriors,bat,normal,0,Pune Warriors,24,0,SPD Smith,"MA Chidambaram Stadium, Chepauk",Asad Rauf,AK Chaudhary,
Kings XI Punjab,Kolkata Knight Riders,400,2013,Chandigarh,4/16/2013,Kolkata Knight Riders,field,normal,0,Kings XI Punjab,4,0,MS Gony,"Punjab Cricket Association Stadium, Mohali",CK Nandan,SJA Taufel,
Delhi Daredevils,Royal Challengers Bangalore,401,2013,Bangalore,4/16/2013,Royal Challengers Bangalore,field,tie,0,Royal Challengers Bangalore,0,0,V Kohli,M Chinnaswamy Stadium,M Erasmus,VA Kulkarni,
Sunrisers Hyderabad,Pune Warriors,402,2013,Pune,4/17/2013,Pune Warriors,field,normal,0,Sunrisers Hyderabad,11,0,A Mishra,Subrata Roy Sahara Stadium,Asad Rauf,AK Chaudhary,
Rajasthan Royals,Mumbai Indians,403,2013,Jaipur,4/17/2013,Rajasthan Royals,bat,normal,0,Rajasthan Royals,87,0,AM Rahane,Sawai Mansingh Stadium,Aleem Dar,C Shamshuddin,
Chennai Super Kings,Delhi Daredevils,404,2013,Delhi,4/18/2013,Chennai Super Kings,bat,normal,0,Chennai Super Kings,86,0,MEK Hussey,Feroz Shah Kotla,M Erasmus,VA Kulkarni,
Kings XI Punjab,Sunrisers Hyderabad,405,2013,Hyderabad,4/19/2013,Kings XI Punjab,bat,normal,0,Sunrisers Hyderabad,0,5,GH Vihari,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,CK Nandan,
Kolkata Knight Riders,Chennai Super Kings,406,2013,Kolkata,4/20/2013,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,0,4,RA Jadeja,Eden Gardens,Asad Rauf,AK Chaudhary,
Rajasthan Royals,Royal Challengers Bangalore,407,2013,Bangalore,4/20/2013,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,R Vinay Kumar,M Chinnaswamy Stadium,Aleem Dar,C Shamshuddin,
Mumbai Indians,Delhi Daredevils,408,2013,Delhi,4/21/2013,Mumbai Indians,bat,normal,0,Delhi Daredevils,0,9,V Sehwag,Feroz Shah Kotla,HDPK Dharmasena,S Ravi,
Pune Warriors,Kings XI Punjab,409,2013,Chandigarh,4/21/2013,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,7,DA Miller,"Punjab Cricket Association Stadium, Mohali",M Erasmus,K Srinath,
Rajasthan Royals,Chennai Super Kings,410,2013,Chennai,4/22/2013,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,5,MEK Hussey,"MA Chidambaram Stadium, Chepauk",S Asnani,AK Chaudhary,
Royal Challengers Bangalore,Pune Warriors,411,2013,Bangalore,4/23/2013,Pune Warriors,field,normal,0,Royal Challengers Bangalore,130,0,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,C Shamshuddin,
Kings XI Punjab,Delhi Daredevils,412,2013,Dharamsala,5/16/2013,Delhi Daredevils,field,normal,0,Kings XI Punjab,7,0,DA Miller,Himachal Pradesh Cricket Association Stadium,HDPK Dharmasena,S Ravi,
Kolkata Knight Riders,Mumbai Indians,413,2013,Kolkata,4/24/2013,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,0,5,DR Smith,Eden Gardens,HDPK Dharmasena,S Ravi,
Sunrisers Hyderabad,Chennai Super Kings,414,2013,Chennai,4/25/2013,Sunrisers Hyderabad,bat,normal,0,Chennai Super Kings,0,5,MS Dhoni,"MA Chidambaram Stadium, Chepauk",Aleem Dar,S Das,
Kings XI Punjab,Kolkata Knight Riders,415,2013,Kolkata,4/26/2013,Kings XI Punjab,bat,normal,0,Kolkata Knight Riders,0,6,JH Kallis,Eden Gardens,CK Nandan,S Ravi,
Sunrisers Hyderabad,Rajasthan Royals,416,2013,Jaipur,4/27/2013,Sunrisers Hyderabad,bat,normal,0,Rajasthan Royals,0,8,JP Faulkner,Sawai Mansingh Stadium,VA Kulkarni,K Srinath,
Mumbai Indians,Royal Challengers Bangalore,417,2013,Mumbai,4/27/2013,Mumbai Indians,bat,normal,0,Mumbai Indians,58,0,DR Smith,Wankhede Stadium,Asad Rauf,S Asnani,
Chennai Super Kings,Kolkata Knight Riders,418,2013,Chennai,4/28/2013,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,14,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Aleem Dar,SJA Taufel,
Delhi Daredevils,Pune Warriors,419,2013,Raipur,4/28/2013,Pune Warriors,field,normal,0,Delhi Daredevils,15,0,DA Warner,Shaheed Veer Narayan Singh International Stadium,CK Nandan,S Ravi,
Royal Challengers Bangalore,Rajasthan Royals,420,2013,Jaipur,4/29/2013,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,4,SV Samson,Sawai Mansingh Stadium,M Erasmus,K Srinath,
Mumbai Indians,Kings XI Punjab,421,2013,Mumbai,4/29/2013,Mumbai Indians,bat,normal,0,Mumbai Indians,4,0,RG Sharma,Wankhede Stadium,Asad Rauf,AK Chaudhary,
Chennai Super Kings,Pune Warriors,422,2013,Pune,4/30/2013,Chennai Super Kings,bat,normal,0,Chennai Super Kings,37,0,MS Dhoni,Subrata Roy Sahara Stadium,S Das,SJA Taufel,
Mumbai Indians,Sunrisers Hyderabad,423,2013,Hyderabad,5/1/2013,Mumbai Indians,bat,normal,0,Sunrisers Hyderabad,0,7,I Sharma,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,S Asnani,
Kolkata Knight Riders,Delhi Daredevils,424,2013,Raipur,5/1/2013,Kolkata Knight Riders,bat,normal,0,Delhi Daredevils,0,7,DA Warner,Shaheed Veer Narayan Singh International Stadium,HDPK Dharmasena,CK Nandan,
Chennai Super Kings,Kings XI Punjab,425,2013,Chennai,5/2/2013,Chennai Super Kings,bat,normal,0,Chennai Super Kings,15,0,SK Raina,"MA Chidambaram Stadium, Chepauk",M Erasmus,VA Kulkarni,
Royal Challengers Bangalore,Pune Warriors,426,2013,Pune,5/2/2013,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,17,0,AB de Villiers,Subrata Roy Sahara Stadium,Aleem Dar,C Shamshuddin,
Rajasthan Royals,Kolkata Knight Riders,427,2013,Kolkata,5/3/2013,Rajasthan Royals,bat,normal,0,Kolkata Knight Riders,0,8,YK Pathan,Eden Gardens,HDPK Dharmasena,CK Nandan,
